"pdb","vvolume","variable","value"
"1AGM_A","vvolumeO","hbe",0.540410022614107
"1AGM_A","vvolumeO","hpshh",0.219262290712062
"1AGM_A","vvolumeO","r4s_JC",0.451968365149622
"1AGM_A","vvolumeO","rsa",0.756721041737348
"1AGM_A","vvolumeO","seqent",0.251239835058106
"1AGM_A","vvolumeSC","ddgent",0.767918083904855
"1AGM_A","vvolumeSC","hbe",0.394995752877414
"1AGM_A","vvolumeSC","hpshh",0.300480944226286
"1AGM_A","vvolumeSC","r4s_JC",0.593889821078491
"1AGM_A","vvolumeSC","rsa",0.903936645362048
"1AGM_A","vvolumeSC","seqent",0.386458223922712
"1AGY_A","vvolumeAA","ddgent",0.773659625363759
"1AGY_A","vvolumeAA","hbe",0.483687872383249
"1AGY_A","vvolumeAA","hpshh",0.287407347533833
"1AGY_A","vvolumeAA","r4s_JC",0.663724394939916
"1AGY_A","vvolumeAA","rsa",0.922461017580376
"1AGY_A","vvolumeAA","seqent",0.502502758607236
"1AGY_A","vvolumeC","ddgent",0.657781063509852
"1AGY_A","vvolumeC","hbe",0.544380931055993
"1AGY_A","vvolumeC","hpshh",0.1742371215362
"1AGY_A","vvolumeC","r4s_JC",0.556426831120016
"1AGY_A","vvolumeC","rsa",0.822932254177851
"1AGY_A","vvolumeC","seqent",0.446051386210185
"1AGY_A","vvolumeCA","ddgent",0.732799349550619
"1AGY_A","vvolumeCA","hbe",0.498035088767338
"1AGY_A","vvolumeCA","hpshh",0.257799943209466
"1AGY_A","vvolumeCA","r4s_JC",0.654069599778287
"1AGY_A","vvolumeCA","rsa",0.879831841082062
"1AGY_A","vvolumeCA","seqent",0.504237188372251
"1AGY_A","vvolumeCB","ddgent",0.767123739204957
"1AGY_A","vvolumeCB","hbe",0.489506518029937
"1AGY_A","vvolumeCB","hpshh",0.274031689408519
"1AGY_A","vvolumeCB","r4s_JC",0.65508907457222
"1AGY_A","vvolumeCB","rsa",0.911808058091974
"1AGY_A","vvolumeCB","seqent",0.495167925763877
"1AGY_A","vvolumeN","ddgent",0.67449277819111
"1AGY_A","vvolumeN","hbe",0.513022104962821
"1AGY_A","vvolumeN","hpshh",0.270124353036341
"1AGY_A","vvolumeN","r4s_JC",0.609156986974309
"1AGY_A","vvolumeN","rsa",0.828363159248102
"1AGY_A","vvolumeN","seqent",0.463726873616363
"1AGY_A","vvolumeO","ddgent",0.569752220223576
"1AGY_A","vvolumeO","hbe",0.568619531027275
"1AGY_A","vvolumeO","hpshh",0.169432877439736
"1AGY_A","vvolumeO","r4s_JC",0.522405882049828
